Caucasian male, short black hair, athletic build, young adult, brown eyes  
Caucasian male, medium wavy brown hair, muscular body, young adult, blue eyes  
Caucasian male, long straight blonde hair, lean slim build, young adult, green eyes  
Caucasian male, bald shaved head, stocky heavy build, middle-aged, hazel eyes  
Caucasian male, short salt-and-pepper gray hair, dad bod average, middle-aged, gray eyes  
Caucasian male, shoulder-length dark brown hair, tall lanky build, young adult, blue eyes  
Black male, very short tight black curls, muscular athletic build, young adult, dark brown eyes  
Black male, bald head, broad thick build, middle-aged, brown eyes  
Black male, short faded black hair, lean fit build, young adult, deep brown eyes  
Hispanic/Latino male, short dark brown hair, stocky muscular build, young adult, brown eyes  
Hispanic/Latino male, medium black hair slicked back, average dad bod, middle-aged, dark brown eyes  
Hispanic/Latino male, medium curly black hair, slim athletic build, young adult, hazel eyes  
Asian male, short straight black hair, lean slim build, young adult, dark brown eyes  
Asian male, medium length black hair slightly wavy, average build, middle-aged, brown eyes  
Middle Eastern male, short curly dark brown hair, muscular broad build, young adult, dark brown eyes  
Middle Eastern male, bald with short beard stubble, heavy set build, middle-aged, brown eyes  
Caucasian male, long silver white hair, thin frail build, elderly, pale blue eyes  
Caucasian male, very short gray hair, frail elderly build, elderly, gray eyes  
Black male, short graying black hair, stocky elderly build, elderly, dark brown eyes  
Caucasian male, messy medium brown hair, chubby soft build, middle-aged, green eyes  
Mixed race male, short wavy dark brown hair, athletic toned build, young adult, hazel eyes  
Caucasian male, buzz cut blond hair, heavily muscled build, young adult, blue eyes  
Caucasian male, shoulder-length red hair, lanky tall build, middle-aged, green eyes  
Caucasian male, short military buzz cut black hair, rugged muscular build, middle-aged, brown eyes  
South Asian male, short straight black hair, slim wiry build, young adult, dark brown eyes  
